AGE,SEX,SCHOLARSHIP TYPE,STUDY HOURS,READING REQUENCY (NON SCI),READING FREQUENCY (SCI),ATTENDANCE TO CLASS,PREPARATION TYPE EXAMS,PREPARATION TIME EXAMS,TAKING NOTES IN CLASS,LISTENING IN CLASS,DISCUSSION IMPROVES MY INTEREST AND SUCCESS TO THIS COURSE,CUMULATIVE GPA LAST SEMESTER,GRADE,,
2,2,3,3,2,2,1,1,1,3,2,1,1,1,,"1- Student Age (1: 18-21, 2: 22-25, 3: above 26)"
2,2,3,2,2,2,1,1,1,3,2,3,2,1,,"2- Sex (1: female, 2: male)"
2,2,3,2,1,2,1,1,1,2,2,1,2,1,,"4- Scholarship type: (1: None, 2: 25%, 3: 50%, 4: 75%, 5: Full)"
1,1,3,3,1,2,1,1,2,3,2,2,3,1,,"17- Weekly study hours: (1: None, 2: <5 hours, 3: 6-10 hours, 4: 11-20 hours, 5: more than 20 hours)"
2,2,3,2,1,1,1,2,1,2,2,2,2,1,,"18- Reading frequency (non-scientific books/journals): (1: None, 2: Sometimes, 3: Often)"
2,2,3,1,1,2,1,1,1,1,2,1,4,2,,"19- Reading frequency (scientific books/journals): (1: None, 2: Sometimes, 3: Often)"
1,2,4,2,2,2,2,1,1,3,3,3,4,5,,"22- Attendance to classes (1: always, 2: sometimes, 3: never)"
1,1,3,1,2,2,1,3,1,3,2,2,1,2,,"23- Preparation to midterm exams 1: (1: alone, 2: with friends, 3: not applicable)"
2,1,3,1,2,2,1,1,1,3,2,2,4,5,,"24- Preparation to midterm exams 2: (1: closest date to the exam, 2: regularly during the semester, 3: never)"
2,1,3,2,2,2,2,1,1,2,2,2,1,0,,"25- Taking notes in classes: (1: never, 2: sometimes, 3: always)"
1,1,3,1,1,1,2,1,1,2,2,2,1,2,,"26- Listening in classes: (1: never, 2: sometimes, 3: always)"
1,1,4,3,3,3,1,3,2,3,1,3,4,0,,"27- Discussion improves my interest and success in the course: (1: never, 2: sometimes, 3: always)"
1,1,4,3,2,2,1,1,1,2,2,2,4,0,,"29- Cumulative grade point average in the last semester (/4.00): (1: <2.00, 2: 2.00-2.49, 3: 2.50-2.99, 4: 3.00-3.49, 5: above 3.49)"
2,1,5,1,2,1,2,1,1,3,2,3,4,1,,"32- OUTPUT Grade (0: Fail, 1: DD, 2: DC, 3: CC, 4: CB, 5: BB, 6: BA, 7: AA)"
3,2,4,2,2,2,1,1,1,2,3,2,4,2,,
2,2,3,2,2,2,2,1,1,3,2,2,2,2,,
1,1,5,2,2,2,2,1,1,3,2,3,4,1,,
2,2,3,2,2,2,2,1,1,2,2,2,2,2,,
1,1,4,5,3,2,2,1,1,3,1,3,3,2,,
1,2,3,4,2,2,1,1,1,3,2,2,2,3,,
1,2,5,4,2,2,1,1,2,3,1,2,4,1,,
1,2,5,3,2,2,1,1,1,3,1,3,3,1,,
2,2,3,3,3,3,1,1,2,3,1,2,3,3,,
3,2,2,3,2,3,2,1,1,3,2,3,3,1,,
2,2,3,1,2,2,1,1,1,2,1,3,4,2,,
2,2,3,2,2,2,1,1,1,2,1,3,1,3,,
2,2,3,2,3,2,1,1,1,3,3,3,2,1,,
1,2,3,3,2,2,2,1,1,3,1,2,2,1,,
3,2,3,2,2,2,1,1,1,3,2,3,5,3,,
2,2,4,2,2,2,1,1,1,3,2,2,4,5,,
2,2,5,2,2,2,1,2,1,2,3,3,5,5,,
3,2,3,2,2,3,1,1,1,3,3,2,4,3,,
2,1,3,2,2,2,2,1,1,2,2,2,2,1,,
2,1,3,2,1,2,1,1,1,1,3,2,2,2,,
1,2,3,2,1,1,2,1,1,2,2,3,4,2,,
1,2,4,2,2,2,2,1,1,2,1,3,1,1,,
2,2,4,1,1,3,2,2,1,2,1,2,4,2,,
2,2,3,2,2,2,1,1,1,3,2,3,5,1,,
2,2,5,3,2,2,1,2,1,2,2,2,4,2,,
2,1,3,1,2,1,1,1,1,2,2,2,2,1,,
1,2,3,1,2,2,1,1,1,3,1,2,2,1,,
3,2,3,3,2,2,2,1,1,3,2,2,4,1,,
2,2,3,2,2,1,1,1,1,2,1,3,2,1,,
1,2,3,2,2,2,2,1,1,3,1,3,3,4,,
